sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Ông già và biển cả,9786326173796,Ernest Hemingway,L,Văn học & Tiểu thuyết,NXB Văn học,2019,vi,Hồ Khổng Tuyết Như,
DS_main,"Ở Khắp Nơi, Là Bất Kỳ Ai",,L. J. Goulding,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Ngô Thanh Tùng,
DS_main,Phù thủy xứ Oz,9786044086620,Frank Baum,L,Văn học & Tiểu thuyết,NXB Trẻ,2017,vi,Ngô Thanh Tùng,
DS_main,Quân khu Nam Đồng,9786041242883,Bình Ca,H,Lịch sử,NXB Trẻ,2015,vi,Ngô Thanh Tùng,
DS_main,Quốc gia khởi nghiệp,9786326040760,Dan Senor & Saul Singer,L,Văn học & Tiểu thuyết,NXB Thế Giới,2013,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Ruột ơi là ruột,9786047730421,Giulia Enders,N,Khoa học tự nhiên,NXB Thế Giới,2017,vi,Bùi Minh Quân,
DS_main,Ruột Ơi Là Ruột – Bí Mật Của Một Thế Giới Bị Lãng Quên,9786043407853,Giulia Enders,N,Khoa học tự nhiên,NXB Thế Giới,2017,vi,Bùi Minh Quân,
DS_main,Sapiens Lược sử loài người,9786043443301,Yuval Noah Harari,S,Khoa học xã hội,NXB Tri Thức,2022,vi,Ngô Thanh Tùng,
DS_main,Sói và gia vị - Tập 1,8936037797748,Isuna Hasekura,L,Văn học & Tiểu thuyết,NXB Lao Động,2016,vi,Bùi Minh Quân,
DS_main,Sói và gia vị - Tập 2,8936037798080,Isuna Hasekura,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2018,vi,Bùi Minh Quân,
DS_main,Số Đỏ,9786326179743,Vũ Trọng Phụng,L,Văn học & Tiểu thuyết,NXB Văn học,1936,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Sống mòn,9786043943849,Nam Cao,L,Văn học & Tiểu thuyết,NXB Văn Học,2021,vi,Ngô Thanh Tùng,
DS_main,"Súng, Vi Trùng và Thép – Định Mệnh của Các Xã Hội Loài Người",8935270703837,Jared Diamond,L,Văn học & Tiểu thuyết,NXB Thế Giới,2018,vi,Bùi Minh Quân,
DS_main,Sự tích cá he,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích cái chổi,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích cây huyết dụ,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Hà Công Thuận,
DS_main,Sự tích cây nêu ngày Tết,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích chim đa đa,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Tiến Quốc,
DS_main,Sự tích chim hít cô,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Hà Công Thuận,
DS_main,Sự tích chim năm-trâu-sáu-cột và chim bắt-cô-trói-cột,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Tiến Quốc,
DS_main,Sự tích chim quốc,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Tiến Quốc,
DS_main,Sự tích chim tu hú,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Hà Công Thuận,
DS_main,Sự tích con dã tràng,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích con khỉ,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Tiến Quốc,
DS_main,Sự tích con muỗi,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Tiến Quốc,
DS_main,Sự tích con nhái,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,,
DS_main,Sự tích con sam,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích dưa hấu,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Hà Công Thuận,
DS_main,Sự tích đá Bà rầu,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Ngô Thanh Tùng,
DS_main,Sự tích đá Vọng phu,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích đầm Mực,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích đầm Nhất dạ và bãi Tự nhiên,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sư tích hồ Ba Bể,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Sự tích hồ Gươm,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
